walltime,energy
0,-2.2421(9)
50,-2.2437(17)
100,-2.2424(21)
150,-2.2428(19)
200,-2.2434(18)
250,-2.2439(18)
300,-2.2425(18)
350,-2.2437(18)
400,-2.2448(19)
450,-2.2434(18)
500,-2.2442(17)
550,-2.2439(20)
600,-2.2460(28)
650,-2.2509(56)
700,-2.2429(19)
750,-2.2437(18)
800,-2.2436(19)
850,-2.2459(20)
900,-2.2463(19)
950,-2.2481(19)
1000,-2.2482(17)
